Time = 0.000000 : 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 0.000002, 0.000007, 0.000023, 0.000070, 0.000202, 0.000549, 0.001402, 0.003363, 0.007577, 0.016038, 0.031893, 0.059583, 0.104572, 0.172414, 0.267046, 0.388558, 0.531103, 0.681955, 0.822595, 0.932117, 0.992223, 0.992212, 0.932088, 0.822560, 0.681926, 0.531089, 0.388559, 0.267058, 0.172429, 0.104586, 0.059591, 0.031896, 0.016037, 0.007575, 0.003361, 0.001401, 0.000548, 0.000202, 0.000070, 0.000023, 0.000007, 0.000002, 0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
Time = 0.007812 : 0.000000, -0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 0.000004, 0.000013, 0.000040, 0.000120, 0.000336, 0.000885, 0.002189, 0.005088, 0.011110, 0.022793, 0.043931, 0.079549, 0.135320, 0.216251, 0.324645, 0.457840, 0.606553, 0.754874, 0.882531, 0.969254, 0.999999, 0.969211, 0.882462, 0.754806, 0.606509, 0.457828, 0.324661, 0.216280, 0.135350, 0.079570, 0.043942, 0.022795, 0.011108, 0.005084, 0.002186, 0.000882, 0.000335, 0.000119, 0.000040, 0.000013, 0.000004, 0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
Time = 0.015625 : 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 0.000002, 0.000007, 0.000023, 0.000070, 0.000203, 0.000551, 0.001404, 0.003365, 0.007579, 0.016038, 0.031890, 0.059575, 0.104559, 0.172398, 0.267034, 0.388556, 0.531118, 0.681985, 0.822631, 0.932146, 0.992234, 0.992200, 0.932058, 0.822524, 0.681898, 0.531076, 0.388561, 0.267070, 0.172445, 0.104599, 0.059599, 0.031899, 0.016037, 0.007573, 0.003358, 0.001399, 0.000547, 0.000201, 0.000069, 0.000022, 0.000007, 0.000002, 0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
Time = 0.023438 : 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 0.000004, 0.000013, 0.000041, 0.000121, 0.000337, 0.000887, 0.002191, 0.005090, 0.011112, 0.022792, 0.043926, 0.079538, 0.135305, 0.216236, 0.324638, 0.457846, 0.606576, 0.754907, 0.882565, 0.969275, 0.999998, 0.969189, 0.882428, 0.754773, 0.606488, 0.457823, 0.324669, 0.216295, 0.135365, 0.079581, 0.043947, 0.022796, 0.011106, 0.005082, 0.002184, 0.000881, 0.000334, 0.000119, 0.000040, 0.000012, 0.000004, 0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
Time = 0.031250 : 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 0.000002, 0.000007, 0.000023, 0.000071, 0.000204, 0.000552, 0.001406, 0.003367, 0.007580, 0.016038, 0.031887, 0.059567, 0.104546, 0.172383, 0.267022, 0.388555, 0.531133, 0.682014, 0.822667, 0.932175, 0.992245, 0.992187, 0.932028, 0.822489, 0.681870, 0.531062, 0.388563, 0.267083, 0.172460, 0.104612, 0.059607, 0.031902, 0.016037, 0.007571, 0.003356, 0.001397, 0.000546, 0.000200, 0.000069, 0.000022, 0.000007, 0.000002, 0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
Time = 0.039062 : 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 0.000004, 0.000013, 0.000041, 0.000121, 0.000338, 0.000888, 0.002193, 0.005093, 0.011113, 0.022791, 0.043920, 0.079527, 0.135290, 0.216221, 0.324630, 0.457853, 0.606598, 0.754941, 0.882599, 0.969296, 0.999997, 0.969167, 0.882394, 0.754739, 0.606466, 0.457817, 0.324677, 0.216310, 0.135380, 0.079591, 0.043953, 0.022797, 0.011105, 0.005080, 0.002182, 0.000880, 0.000333, 0.000118, 0.000039, 0.000012, 0.000004, 0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
Time = 0.046875 : 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 0.000002, 0.000007, 0.000023, 0.000071, 0.000204, 0.000553, 0.001407, 0.003369, 0.007582, 0.016039, 0.031884, 0.059559, 0.104532, 0.172367, 0.267010, 0.388554, 0.531147, 0.682043, 0.822702, 0.932204, 0.992255, 0.992175, 0.931998, 0.822453, 0.681841, 0.531049, 0.388565, 0.267095, 0.172476, 0.104624, 0.059615, 0.031905, 0.016036, 0.007569, 0.003354, 0.001395, 0.000545, 0.000200, 0.000069, 0.000022, 0.000007, 0.000002, 0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
Time = 0.054688 : 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 0.000004, 0.000013, 0.000041, 0.000122, 0.000339, 0.000890, 0.002195, 0.005095, 0.011114, 0.022789, 0.043915, 0.079516, 0.135275, 0.216207, 0.324623, 0.457859, 0.606621, 0.754975, 0.882633, 0.969317, 0.999997, 0.969144, 0.882359, 0.754706, 0.606445, 0.457812, 0.324685, 0.216324, 0.135394, 0.079602, 0.043958, 0.022798, 0.011103, 0.005077, 0.002180, 0.000878, 0.000332, 0.000118, 0.000039, 0.000012, 0.000004, 0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
Time = 0.062500 : 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 0.000002, 0.000007, 0.000023, 0.000071, 0.000205, 0.000554, 0.001409, 0.003371, 0.007584, 0.016039, 0.031881, 0.059550, 0.104519, 0.172352, 0.266998, 0.388553, 0.531162, 0.682073, 0.822738, 0.932233, 0.992266, 0.992163, 0.931968, 0.822417, 0.681813, 0.531035, 0.388567, 0.267108, 0.172492, 0.104637, 0.059623, 0.031908, 0.016036, 0.007567, 0.003352, 0.001394, 0.000544, 0.000199, 0.000068, 0.000022, 0.000007, 0.000002, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
Time = 0.070312 : 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 0.000004, 0.000013, 0.000041, 0.000122, 0.000340, 0.000891, 0.002197, 0.005097, 0.011116, 0.022788, 0.043909, 0.079505, 0.135260, 0.216192, 0.324616, 0.457866, 0.606644, 0.755009, 0.882667, 0.969338, 0.999996, 0.969122, 0.882325, 0.754673, 0.606423, 0.457807, 0.324693, 0.216339, 0.135409, 0.079612, 0.043963, 0.022799, 0.011102, 0.005075, 0.002178, 0.000877, 0.000331, 0.000117, 0.000039, 0.000012, 0.000004, 0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
Time = 0.078125 : 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 0.000002, 0.000007, 0.000024, 0.000072, 0.000206, 0.000555, 0.001411, 0.003374, 0.007586, 0.016039, 0.031877, 0.059542, 0.104506, 0.172336, 0.266986, 0.388552, 0.531177, 0.682102, 0.822774, 0.932262, 0.992276, 0.992151, 0.931938, 0.822382, 0.681784, 0.531022, 0.388569, 0.267120, 0.172507, 0.104650, 0.059631, 0.031911, 0.016035, 0.007565, 0.003350, 0.001392, 0.000543, 0.000198, 0.000068, 0.000022, 0.000007, 0.000002, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
Time = 0.085938 : 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 0.000004, 0.000013, 0.000041, 0.000122, 0.000341, 0.000892, 0.002199, 0.005099, 0.011117, 0.022787, 0.043904, 0.079494, 0.135245, 0.216177, 0.324608, 0.457872, 0.606667, 0.755044, 0.882701, 0.969359, 0.999995, 0.969100, 0.882290, 0.754639, 0.606402, 0.457801, 0.324701, 0.216354, 0.135424, 0.079623, 0.043968, 0.022800, 0.011101, 0.005073, 0.002176, 0.000875, 0.000330, 0.000117, 0.000039, 0.000012, 0.000003, 0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 
