Time = 0.000000 : 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 0.000004, 0.000013, 0.000040, 0.000120, 0.000335, 0.000884, 0.002187, 0.005086, 0.011109, 0.022794, 0.043937, 0.079560, 0.135335, 0.216265, 0.324652, 0.457833, 0.606531, 0.754840, 0.882497, 0.969233, 1.000000, 0.969233, 0.882497, 0.754840, 0.606531, 0.457833, 0.324652, 0.216265, 0.135335, 0.079560, 0.043937, 0.022794, 0.011109, 0.005086, 0.002187, 0.000884, 0.000335, 0.000120, 0.000040, 0.000013, 0.000004, 0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
Time = 0.007812 : 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 0.000002, 0.000007, 0.000023, 0.000070, 0.000202, 0.000549, 0.001401, 0.003362, 0.007576, 0.016038, 0.031895, 0.059587, 0.104579, 0.172422, 0.267052, 0.388558, 0.531096, 0.681941, 0.822578, 0.932102, 0.992218, 0.992218, 0.932102, 0.822578, 0.681941, 0.531096, 0.388558, 0.267052, 0.172422, 0.104579, 0.059587, 0.031895, 0.016038, 0.007576, 0.003362, 0.001401, 0.000549, 0.000202, 0.000070, 0.000023, 0.000007, 0.000002, 0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
Time = 0.015625 : 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 0.000004, 0.000013, 0.000040, 0.000120, 0.000335, 0.000884, 0.002187, 0.005086, 0.011109, 0.022794, 0.043937, 0.079560, 0.135335, 0.216265, 0.324652, 0.457833, 0.606531, 0.754840, 0.882497, 0.969233, 1.000000, 0.969233, 0.882497, 0.754840, 0.606531, 0.457833, 0.324652, 0.216265, 0.135335, 0.079560, 0.043937, 0.022794, 0.011109, 0.005086, 0.002187, 0.000884, 0.000335, 0.000120, 0.000040, 0.000013, 0.000004, 0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
Time = 0.023438 : 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 0.000002, 0.000007, 0.000023, 0.000070, 0.000202, 0.000549, 0.001401, 0.003362, 0.007576, 0.016038, 0.031895, 0.059587, 0.104579, 0.172422, 0.267052, 0.388558, 0.531096, 0.681941, 0.822578, 0.932102, 0.992218, 0.992218, 0.932102, 0.822578, 0.681941, 0.531096, 0.388558, 0.267052, 0.172422, 0.104579, 0.059587, 0.031895, 0.016038, 0.007576, 0.003362, 0.001401, 0.000549, 0.000202, 0.000070, 0.000023, 0.000007, 0.000002, 0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
Time = 0.031250 : 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 0.000004, 0.000013, 0.000040, 0.000120, 0.000335, 0.000884, 0.002187, 0.005086, 0.011109, 0.022794, 0.043937, 0.079560, 0.135335, 0.216265, 0.324652, 0.457833, 0.606531, 0.754840, 0.882497, 0.969233, 1.000000, 0.969233, 0.882497, 0.754840, 0.606531, 0.457833, 0.324652, 0.216265, 0.135335, 0.079560, 0.043937, 0.022794, 0.011109, 0.005086, 0.002187, 0.000884, 0.000335, 0.000120, 0.000040, 0.000013, 0.000004, 0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
Time = 0.039062 : 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 0.000002, 0.000007, 0.000023, 0.000070, 0.000202, 0.000549, 0.001401, 0.003362, 0.007576, 0.016038, 0.031895, 0.059587, 0.104579, 0.172422, 0.267052, 0.388558, 0.531096, 0.681941, 0.822578, 0.932102, 0.992218, 0.992218, 0.932102, 0.822578, 0.681941, 0.531096, 0.388558, 0.267052, 0.172422, 0.104579, 0.059587, 0.031895, 0.016038, 0.007576, 0.003362, 0.001401, 0.000549, 0.000202, 0.000070, 0.000023, 0.000007, 0.000002, 0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
Time = 0.046875 : 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 0.000004, 0.000013, 0.000040, 0.000120, 0.000335, 0.000884, 0.002187, 0.005086, 0.011109, 0.022794, 0.043937, 0.079560, 0.135335, 0.216265, 0.324652, 0.457833, 0.606531, 0.754840, 0.882497, 0.969233, 1.000000, 0.969233, 0.882497, 0.754840, 0.606531, 0.457833, 0.324652, 0.216265, 0.135335, 0.079560, 0.043937, 0.022794, 0.011109, 0.005086, 0.002187, 0.000884, 0.000335, 0.000120, 0.000040, 0.000013, 0.000004, 0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
Time = 0.054688 : 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 0.000002, 0.000007, 0.000023, 0.000070, 0.000202, 0.000549, 0.001401, 0.003362, 0.007576, 0.016038, 0.031895, 0.059587, 0.104579, 0.172422, 0.267052, 0.388558, 0.531096, 0.681941, 0.822578, 0.932102, 0.992218, 0.992218, 0.932102, 0.822578, 0.681941, 0.531096, 0.388558, 0.267052, 0.172422, 0.104579, 0.059587, 0.031895, 0.016038, 0.007576, 0.003362, 0.001401, 0.000549, 0.000202, 0.000070, 0.000023, 0.000007, 0.000002, 0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
Time = 0.062500 : 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 0.000004, 0.000013, 0.000040, 0.000120, 0.000335, 0.000884, 0.002187, 0.005086, 0.011109, 0.022794, 0.043937, 0.079560, 0.135335, 0.216265, 0.324652, 0.457833, 0.606531, 0.754840, 0.882497, 0.969233, 1.000000, 0.969233, 0.882497, 0.754840, 0.606531, 0.457833, 0.324652, 0.216265, 0.135335, 0.079560, 0.043937, 0.022794, 0.011109, 0.005086, 0.002187, 0.000884, 0.000335, 0.000120, 0.000040, 0.000013, 0.000004, 0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
Time = 0.070312 : 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000001, 0.000002, 0.000007, 0.000023, 0.000070, 0.000202, 0.000549, 0.001401, 0.003362, 0.007576, 0.016038, 0.031895, 0.059587, 0.104579, 0.172422, 0.267052, 0.388558, 0.531096, 0.681941, 0.822578, 0.932102, 0.992218, 0.992218, 0.932102, 0.822578, 0.681941, 0.531096, 0.388558, 0.267052, 0.172422, 0.104579, 0.059587, 0.031895, 0.016038, 0.007576, 0.003362, 0.001401, 0.000549, 0.000202, 0.000070, 0.000023, 0.000007, 0.000002, 0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
